Type,Strike,LTP,Volume,Expiry,T,Days_to_Expiry,Implied_Vol
Call,1640.0,279.15,0,2026-09-29,0.07671232876712329,28,0.4856627794705432
Call,1740.0,168.0,4,2026-09-29,0.07671232876712329,28,0.2316544285662298
Call,1760.0,146.5,0,2026-09-29,0.07671232876712329,28,0.1864365597643839
Call,1780.0,151.0,0,2026-09-29,0.07671232876712329,28,0.3596505677575216
Call,1800.0,106.6,29,2026-09-29,0.07671232876712329,28,0.1423902093838536
Call,1820.0,92.8,25,2026-09-29,0.07671232876712329,28,0.1762847621439714
Call,1840.0,70.6,50,2026-09-29,0.07671232876712329,28,0.13183856314672024
Call,1860.0,54.9,80,2026-09-29,0.07671232876712329,28,0.130918632694489
Call,1880.0,41.0,283,2026-09-29,0.07671232876712329,28,0.12971485979572464
Call,1900.0,29.8,1716,2026-09-29,0.07671232876712329,28,0.13114610183806738
Call,1920.0,20.0,2794,2026-09-29,0.07671232876712329,28,0.12820495141768604
Call,1940.0,12.8,4981,2026-09-29,0.07671232876712329,28,0.12679752762532523
Call,1960.0,8.2,2087,2026-09-29,0.07671232876712329,28,0.12881003286753248
Call,1980.0,5.7,1690,2026-09-29,0.07671232876712329,28,0.13581081900417666
Call,2000.0,4.1,3044,2026-09-29,0.07671232876712329,28,0.14372507995435999
Call,2020.0,2.85,316,2026-09-29,0.07671232876712329,28,0.14970250713813868
Call,2040.0,2.1,255,2026-09-29,0.07671232876712329,28,0.15727367204795276
Call,2060.0,1.5,56,2026-09-29,0.07671232876712329,28,0.16327992117280726
Call,2080.0,1.55,36,2026-09-29,0.07671232876712329,28,0.18038840444453055
Call,2100.0,1.3,117,2026-09-29,0.07671232876712329,28,0.1900451706279385
Call,2120.0,1.0,18,2026-09-29,0.07671232876712329,28,0.19633380549133211
Call,2140.0,1.0,1,2026-09-29,0.07671232876712329,28,0.21055388395073146
Call,2160.0,1.0,0,2026-09-29,0.07671232876712329,28,0.22449286979918442
Call,2200.0,1.0,31,2026-09-29,0.07671232876712329,28,0.25160184245973183
Call,2240.0,0.4,3,2026-09-29,0.07671232876712329,28,0.24570022081532464
Put,1680.0,1.8,0,2026-09-29,0.07671232876712329,28,0.2524819920035854
Put,1700.0,0.9,0,2026-09-29,0.07671232876712329,28,0.2065346372255586
Put,1720.0,0.7,1,2026-09-29,0.07671232876712329,28,0.1810311193312761
Put,1740.0,1.0,4,2026-09-29,0.07671232876712329,28,0.17322107420369154
Put,1760.0,1.65,3,2026-09-29,0.07671232876712329,28,0.16986254090014066
Put,1780.0,2.4,121,2026-09-29,0.07671232876712329,28,0.1625699789281599
Put,1800.0,3.7,1053,2026-09-29,0.07671232876712329,28,0.15756234762621613
Put,1820.0,5.1,574,2026-09-29,0.07671232876712329,28,0.1478324223902305
Put,1840.0,7.6,330,2026-09-29,0.07671232876712329,28,0.14157836241470179
Put,1860.0,11.5,693,2026-09-29,0.07671232876712329,28,0.13697538237534393
Put,1880.0,17.35,1109,2026-09-29,0.07671232876712329,28,0.13417622836760068
Put,1900.0,25.25,1866,2026-09-29,0.07671232876712329,28,0.13148347538831337
Put,1920.0,35.6,2265,2026-09-29,0.07671232876712329,28,0.129765509048875
Put,1940.0,48.55,474,2026-09-29,0.07671232876712329,28,0.12987795465765203
Put,1960.0,64.8,129,2026-09-29,0.07671232876712329,28,0.13846180641901165
Put,1980.0,77.35,11,2026-09-29,0.07671232876712329,28,0.10489394142614968
Put,2000.0,95.15,29,2026-09-29,0.07671232876712329,28,0.08292919066924044
Put,2020.0,116.55,4,2026-09-29,0.07671232876712329,28,0.1343396003358805
Put,2140.0,235.0,0,2026-09-29,0.07671232876712329,28,0.203985404420459
Call,1900.0,51.0,28,2026-10-27,0.15342465753424658,56,0.14789411999602947
Call,1920.0,70.0,0,2026-10-27,0.15342465753424658,56,0.24572231193518226
Call,1940.0,30.6,5,2026-10-27,0.15342465753424658,56,0.14143035877531648
Call,1960.0,36.0,0,2026-10-27,0.15342465753424658,56,0.18616720814803248
Call,2000.0,14.25,57,2026-10-27,0.15342465753424658,56,0.14664529945775662
Call,2020.0,11.3,10,2026-10-27,0.15342465753424658,56,0.15073467874006427
Call,2040.0,14.35,1,2026-10-27,0.15342465753424658,56,0.18282921968843127
Call,2060.0,14.5,0,2026-10-27,0.15342465753424658,56,0.20033929554762323
Call,2200.0,2.5,2,2026-10-27,0.15342465753424658,56,0.20138808516169
Put,1800.0,10.55,10,2026-10-27,0.15342465753424658,56,0.16339992114626045
Put,1840.0,12.0,0,2026-10-27,0.15342465753424658,56,0.13065288338861647
Put,1860.0,20.2,0,2026-10-27,0.15342465753424658,56,0.14263397901082558
Put,1900.0,28.0,0,2026-10-27,0.15342465753424658,56,0.11714351497083135
Put,1920.0,36.0,0,2026-10-27,0.15342465753424658,56,0.11137445184624514
Put,1940.0,49.0,0,2026-10-27,0.15342465753424658,56,0.11647037415669491
Put,1960.0,54.0,0,2026-10-27,0.15342465753424658,56,0.08354105483482364
