Type,Strike,LTP,Volume,Expiry
Call,1600.0,291.25,0,2026-09-29
Call,1640.0,279.15,0,2026-09-29
Call,1700.0,195.0,0,2026-09-29
Call,1740.0,168.0,4,2026-09-29
Call,1760.0,146.5,0,2026-09-29
Call,1780.0,151.0,0,2026-09-29
Call,1800.0,106.6,29,2026-09-29
Call,1820.0,92.8,25,2026-09-29
Call,1840.0,70.6,50,2026-09-29
Call,1860.0,54.9,80,2026-09-29
Call,1880.0,41.0,283,2026-09-29
Call,1900.0,29.8,1716,2026-09-29
Call,1920.0,20.0,2794,2026-09-29
Call,1940.0,12.8,4981,2026-09-29
Call,1960.0,8.2,2087,2026-09-29
Call,1980.0,5.7,1690,2026-09-29
Call,2000.0,4.1,3044,2026-09-29
Call,2020.0,2.85,316,2026-09-29
Call,2040.0,2.1,255,2026-09-29
Call,2060.0,1.5,56,2026-09-29
Call,2080.0,1.55,36,2026-09-29
Call,2100.0,1.3,117,2026-09-29
Call,2120.0,1.0,18,2026-09-29
Call,2140.0,1.0,1,2026-09-29
Call,2160.0,1.0,0,2026-09-29
Call,2200.0,1.0,31,2026-09-29
Call,2240.0,0.4,3,2026-09-29
Put,1680.0,1.8,0,2026-09-29
Put,1700.0,0.9,0,2026-09-29
Put,1720.0,0.7,1,2026-09-29
Put,1740.0,1.0,4,2026-09-29
Put,1760.0,1.65,3,2026-09-29
Put,1780.0,2.4,121,2026-09-29
Put,1800.0,3.7,1053,2026-09-29
Put,1820.0,5.1,574,2026-09-29
Put,1840.0,7.6,330,2026-09-29
Put,1860.0,11.5,693,2026-09-29
Put,1880.0,17.35,1109,2026-09-29
Put,1900.0,25.25,1866,2026-09-29
Put,1920.0,35.6,2265,2026-09-29
Put,1940.0,48.55,474,2026-09-29
Put,1960.0,64.8,129,2026-09-29
Put,1980.0,77.35,11,2026-09-29
Put,2000.0,95.15,29,2026-09-29
Put,2020.0,116.55,4,2026-09-29
Put,2040.0,111.6,0,2026-09-29
Put,2060.0,153.0,1,2026-09-29
Put,2100.0,165.0,0,2026-09-29
Put,2120.0,195.0,0,2026-09-29
Put,2140.0,235.0,0,2026-09-29
Call,1900.0,51.0,28,2026-10-27
Call,1920.0,70.0,0,2026-10-27
Call,1940.0,30.6,5,2026-10-27
Call,1960.0,36.0,0,2026-10-27
Call,2000.0,14.25,57,2026-10-27
Call,2020.0,11.3,10,2026-10-27
Call,2040.0,14.35,1,2026-10-27
Call,2060.0,14.5,0,2026-10-27
Call,2200.0,2.5,2,2026-10-27
Put,1800.0,10.55,10,2026-10-27
Put,1840.0,12.0,0,2026-10-27
Put,1860.0,20.2,0,2026-10-27
Put,1900.0,28.0,0,2026-10-27
Put,1920.0,36.0,0,2026-10-27
Put,1940.0,49.0,0,2026-10-27
Put,1960.0,54.0,0,2026-10-27
Put,2000.0,75.0,0,2026-10-27
